BlockchainID,Symbol,Name
1,BTC,Bitcoin
2,ETH,Ethereum
3,XRP,XRP
4,BCH,Bitcoin Cash
5,LTC,Litecoin
6,BNB,Binance Coin
7,EOS,EOS
8,BSV,Bitcoin SV
9,XLM,Stellar
10,TRX,TRON
11,ADA,Cardano
12,XMR,Monero
13,MIOTA,IOTA
14,DASH,Dash
15,XTZ,Tezos
16,ATOM,Cosmos
17,ETC,Ethereum Classic
18,NEO,NEO
19,XEM,NEM
20,DOGE,Dogecoin
21,ONT,Ontology
22,ZEC,Zcash
23,VET,VeChain
24,QTUM,Qtum
25,ABBC,ABBC Coin
26,DCR,Decred
27,LUNA,LUNA
28,RVN,Ravencoin
29,BTG,Bitcoin Gold
30,VSYS,V Systems
31,NANO,Nano
32,ALGO,Algorand
33,DGB,DigiByte
34,LSK,Lisk
35,SC,Siacoin
36,BCD,Bitcoin Diamond
37,WAVES,Waves
38,ICX,ICON
39,THETA,THETA
40,MONA,MonaCoin
41,BTS,BitShares
42,KMD,Komodo
43,BCN,Bytecoin
44,HC,HyperCash
45,BTM,Bytom
46,XVG,Verge
47,NRG,Energi
48,AE,Aeternity
49,IOST,IOST
50,ARDR,Ardor
51,STEEM,Steem
52,ZIL,Zilliqa
53,XZC,Zcoin
54,NEW,Newton
55,ETN,Electroneum
56,STRAT,Stratis
57,GXC,GXChain
58,ZEN,Horizen
59,ELA,Elastos
60,RDD,ReddCoin
61,FCT,Factom
62,ETP,Metaverse ETP
63,PAI,Project Pai
64,BEAM,Beam
65,GRIN,Grin
66,NAS,Nebulas
67,NULS,NULS
68,WICC,WaykiChain
69,AION,Aion
70,WAXP,WAX
71,ARK,Ark
72,HBAR,Hedera Hashgraph
73,WAN,Wanchain
74,BHP,BHPCoin
75,EDC,EDC Blockchain
76,TOMO,TomoChain
77,TT,Thunder Token
78,TRUE,TrueChain
79,NXS,Nexus
80,SYS,Syscoin
81,GRS,Groestlcoin
82,LOKI,Loki
83,PIVX,PIVX
84,TTC,TTC
85,NXT,Nxt
86,CMT,CyberMiles
87,NKN,NKN
88,TFUEL,Theta Fuel
89,DIVI,Divi
90,WGR,Wagerr
91,PZM,PRIZM
92,BDX,Beldex
93,PLC,PLATINCOIN
94,SHND,StrongHands
95,CVCC,CryptoVerificationCoin
96,BTC2,Bitcoin 2
97,MB8,MB8 Coin
98,BHD,BitcoinHD
99,MBC,MicroBitcoin
100,GRN,GreenPower
101,VITAE,Vitae
102,CNX,Cryptonex
103,GBYTE,Obyte
104,UNO,Unobtanium
105,MOAC,MOAC
106,NYE,NewYork Exchange
107,BAY,BitBay
108,CSC,CasinoCoin
109,MAN,Matrix AI Network
110,SKY,Skycoin
111,SAFE,Safe
112,VTC,Vertcoin
113,APL,Apollo Currency
114,ILC,ILCoin
115,EMC2,Einsteinium
116,OTO,OTOCASH
117,SLS,SaluS
118,HYC,HYCON
119,LCC,Litecoin Cash
120,DDK,DDKoin
121,QRL,Quantum Resistant Ledger
122,PART,Particl
123,ACT,Achain
124,META,Metadium
125,LBTC,Lightning Bitcoin
126,INT,INT Chain
127,KIN,Kin
128,GO,GoChain
129,BLOCK,Blocknet
130,IRIS,IRISnet
131,STREAM,Streamit Coin
132,NMC,Namecoin
133,BURST,Burst
134,PPC,Peercoin
135,HPB,High Performance Blockchain
136,XMC,Monero Classic
