BlockchainID,Symbol,Name,IsShownInTradingPair,IsForPreferredOption
1,BTC,Bitcoin,1,1
2,ETH,Ethereum,1,1
3,XRP,XRP,0,0
4,BCH,Bitcoin Cash,0,0
5,LTC,Litecoin,0,0
6,BNB,Binance Coin,0,0
7,EOS,EOS,0,0
8,BSV,Bitcoin SV,0,0
9,XLM,Stellar,0,0
10,TRX,TRON,0,0
11,ADA,Cardano,0,0
12,XMR,Monero,0,0
13,MIOTA,IOTA,0,0
14,DASH,Dash,0,0
15,XTZ,Tezos,0,0
16,ATOM,Cosmos,0,0
17,ETC,Ethereum Classic,0,0
18,NEO,NEO,0,0
19,XEM,NEM,0,0
20,DOGE,Dogecoin,0,0
21,ONT,Ontology,0,0
22,ZEC,Zcash,0,0
23,VET,VeChain,0,0
24,QTUM,Qtum,0,0
25,ABBC,ABBC Coin,0,0
26,DCR,Decred,0,0
27,LUNA,LUNA,0,0
28,RVN,Ravencoin,0,0
29,BTG,Bitcoin Gold,0,0
30,VSYS,V Systems,0,0
31,NANO,Nano,0,0
32,ALGO,Algorand,0,0
33,DGB,DigiByte,0,0
34,LSK,Lisk,0,0
35,SC,Siacoin,0,0
36,BCD,Bitcoin Diamond,0,0
37,WAVES,Waves,0,0
38,ICX,ICON,0,0
39,THETA,THETA,0,0
40,MONA,MonaCoin,0,0
41,BTS,BitShares,0,0
42,KMD,Komodo,0,0
43,BCN,Bytecoin,0,0
44,HC,HyperCash,0,0
45,BTM,Bytom,0,0
46,XVG,Verge,0,0
47,NRG,Energi,0,0
48,AE,Aeternity,0,0
49,IOST,IOST,0,0
50,ARDR,Ardor,0,0
51,STEEM,Steem,0,0
52,ZIL,Zilliqa,0,0
53,XZC,Zcoin,0,0
54,NEW,Newton,0,0
55,ETN,Electroneum,0,0
56,STRAT,Stratis,0,0
57,GXC,GXChain,0,0
58,ZEN,Horizen,0,0
59,ELA,Elastos,0,0
60,RDD,ReddCoin,0,0
61,FCT,Factom,0,0
62,ETP,Metaverse ETP,0,0
63,PAI,Project Pai,0,0
64,BEAM,Beam,0,0
65,GRIN,Grin,0,0
66,NAS,Nebulas,0,0
67,NULS,NULS,0,0
68,WICC,WaykiChain,0,0
69,AION,Aion,0,0
70,WAXP,WAX,0,0
71,ARK,Ark,0,0
72,HBAR,Hedera Hashgraph,0,0
