CountryCode,Name
--,Undefined
ad,Sant Julia de Loria
ad,Andorra la Vella
ad,La Massana
ad,Ordino
ad,Canillo
ad,Encamp
ad,Escaldes-Engordany
ae,Fujairah
ae,Abu Dhabi
ae,Dubai
ae,Ras Al Khaimah
ae,Umm Al Quwain
ae,Sharjah
ae,Ajman
af,Paktika
af,Farah
af,Helmand
af,Kondoz
af,Bamian
af,Ghowr
af,Laghman
af,Ghazni
af,Vardak
af,Oruzgan
af,Zabol
af,Badghis
af,Badakhshan
af,Faryab
af,Takhar
af,Lowgar
af,Herat
af,Daykondi
af,Sar-e Pol
af,Balkh
af,Kabol
af,Nimruz
af,Kandahar
af,Khowst
af,Kapisa
af,Nangarhar
af,Samangan
af,Paktia
af,Baghlan
af,Jowzjan
af,Konar
af,Nurestan
af,Panjshir
ag,Saint John
ag,Saint Paul
ag,Saint George
ag,Saint Peter
ag,Saint Mary
ag,Barbuda
ag,Saint Philip
al,Vlore
al,Korce
al,Shkoder
al,Durres
al,Elbasan
al,Kukes
al,Fier
al,Berat
al,Gjirokaster
al,Tirane
al,Lezhe
al,Diber
am,Aragatsotn
am,Ararat
am,Kotayk'
am,Tavush
am,Syunik'
am,Geghark'unik'
am,Vayots' Dzor
am,Lorri
am,Armavir
am,Yerevan
am,Shirak
ao,Benguela
ao,Uige
ao,Bengo
ao,Cuanza Norte
ao,Malanje
ao,Cuanza Sul
ao,Huambo
ao,Moxico
ao,Cuando Cubango
ao,Bie
ao,Huila
ao,Lunda Sul
ao,Zaire
ao,Cunene
ao,Lunda Norte
ao,Namibe
ao,Cabinda
ar,Buenos Aires
ar,Cordoba
ar,Entre Rios
ar,Salta
ar,Jujuy
ar,La Pampa
ar,Mendoza
ar,Misiones
ar,Santa Cruz
ar,Santa Fe
ar,Tucuman
ar,Corrientes
ar,San Juan
ar,Santiago del Estero
ar,Catamarca
ar,Neuquen
ar,Distrito Federal
ar,La Rioja
ar,Rio Negro
ar,Chubut
ar,San Luis
ar,Tierra del Fuego
ar,Formosa
ar,Chaco
at,Niederosterreich
at,Salzburg
at,Oberosterreich
at,Tirol
at,Karnten
at,Steiermark
at,Vorarlberg
at,Wien
at,Burgenland
au,New South Wales
au,Tasmania
au,Western Australia
au,Queensland
au,Victoria
au,South Australia
au,Northern Territory
au,Australian Capital Territory
az,Neftcala
az,Xanlar
az,Yevlax
az,Agdas
az,Sabirabad
az,Yardimli
az,Calilabad
az,Saatli
az,Saki
az,Kurdamir
az,Qazax
az,Tovuz
az,Samkir
az,Agdam
az,Qubadli
az,Oguz
az,Lacin
az,Kalbacar
az,Haciqabul
az,Bilasuvar
az,Balakan
az,Naxcivan
az,Qabala
az,Agcabadi
az,Samaxi
az,Davaci
az,Quba
az,Qusar
az,Imisli
az,Abseron
az,Xacmaz
az,Cabrayil
az,Ismayilli
az,Goranboy
az,Fuzuli
az,Baki
az,Beylaqan
az,Daskasan
az,Masalli
az,Zaqatala
az,Lankaran
az,Lerik
az,Ali Bayramli
az,Qax
az,Samux
az,Zardab
az,Gadabay
az,Ucar
az,Barda
az,Siyazan
az,Xocavand
az,Zangilan
az,Xizi
az,Yevlax
az,Agsu
az,Qobustan
az,Goycay
az,Astara
az,Xocali
az,Xankandi
az,Tartar
az,Agstafa
az,Salyan
az,Susa
az,Ganca
az,Sumqayit
az,Saki
az,Naftalan
az,Lankaran
az,Mingacevir
az,Susa
ba,Republika Srpska
ba,Federation of Bosnia and Herzegovina
bb,Saint Joseph
bb,Saint Lucy
bb,Saint Thomas
bb,Saint James
bb,Saint John
bb,Saint Peter
bb,Christ Church
bb,Saint George
bb,Saint Michael
bb,Saint Andrew
bb,Saint Philip
bd,Khulna
bd,Rajshahi
bd,Dhaka
bd,Barisal
bd,Sylhet
bd,Chittagong
be,Oost-Vlaanderen
be,West-Vlaanderen
be,Limburg
be,Antwerpen
be,Luxembourg
be,Hainaut
be,Liege
be,Namur
be,Brussels Hoofdstedelijk Gewest
be,Vlaams-Brabant
be,Brabant Wallon
bf,Mouhoun
bf,Bam
bf,Tapoa
bf,Soum
bf,Leraba
bf,Noumbiel
bf,Gnagna
bf,Yatenga
bf,Banwa
bf,Poni
bf,Loroum
bf,Kouritenga
bf,Tuy
bf,Kossi
bf,Passore
bf,Kenedougou
bf,Bale
bf,Bougouriba
bf,Houet
bf,Gourma
bf,Namentenga
bf,Sanmatenga
bf,Ioba
bf,Ganzourgou
bf,Naouri
bf,Boulkiemde
bf,Zoundweogo
bf,Zondoma
bf,Komoe
bf,Yagha
bf,Komondjari
bf,Sourou
bf,Nayala
bf,Sissili
bf,Sanguie
bf,Oudalan
bf,Koulpelogo
bf,Ziro
bf,Kourweogo
bf,Oubritenga
bf,Seno
bf,Bazega
bf,Kadiogo
bf,Kompienga
bf,Boulgou
bg,Lovech
bg,Varna
bg,Burgas
bg,Razgrad
bg,Plovdiv
bg,Khaskovo
bg,Sofiya
bg,Silistra
bg,Vidin
bg,Montana
bg,Mikhaylovgrad
bg,Grad Sofiya
bg,Turgovishte
bg,Kurdzhali
bg,Dobrich
bg,Shumen
bg,Blagoevgrad
bg,Smolyan
bg,Stara Zagora
bg,Pazardzhik
bg,Ruse
bg,Vratsa
bg,Pleven
bg,Pernik
bg,Kyustendil
bg,Yambol
bg,Gabrovo
bg,Sliven
bg,Veliko Turnovo
bh,Jidd Hafs
bh,Al Mintaqah ash Shamaliyah
bh,Al Manamah
bh,Sitrah
bh,Al Mintaqah al Gharbiyah
bh,Mintaqat Juzur Hawar
bh,Al Hadd
bh,Al Mintaqah al Wusta
bh,Ar Rifa
bh,Madinat
bi,Karuzi
bi,Ruyigi
bi,Bubanza
bi,Bururi
bi,Makamba
bi,Kayanza
bi,Rutana
bi,Muyinga
bi,Cibitoke
bi,Gitega
bi,Cankuzo
bi,Bujumbura
bi,Ngozi
bi,Kirundo
bj,Plateau
bj,Collines
bj,Oueme
bj,Zou
bj,Atlanyique
bj,Borgou
bj,Mono
bj,Kouffo
bj,Donga
bj,Littoral
bj,Alibori
bj,Atakora
bm,Devonshire
bm,Paget
bm,Saint George's
bm,Smiths
bm,Hamilton
bm,Warwick
bm,Sandys
bm,Saint George
bm,Hamilton
bo,Santa Cruz
bo,Pando
bo,Tarija
bo,La Paz
bo,Oruro
bo,Cochabamba
bo,Potosi
bo,Chuquisaca
bo,El Beni
br,Santa Catarina
br,Mato Grosso do Sul
br,Rio Grande do Sul
br,Espirito Santo
br,Bahia
br,Rondonia
br,Minas Gerais
br,Paraiba
br,Amapa
br,Amazonas
br,Para
br,Ceara
br,Rio de Janeiro
br,Goias
br,Sao Paulo
br,Parana
br,Rio Grande do Norte
br,Acre
br,Piaui
br,Pernambuco
br,Mato Grosso
br,Maranhao
br,Tocantins
br,Roraima
br,Alagoas
br,Sergipe
br,Distrito Federal
bs,Acklins and Crooked Islands
bs,Mayaguana
bs,Long Island
bs,New Providence
bs,Exuma
bs,Bimini
bs,Governor's Harbour
bs,San Salvador and Rum Cay
bs,Fresh Creek
bs,Cat Island
bs,Nichollstown and Berry Islands
bs,Kemps Bay
bs,Freeport
bs,Rock Sound
bs,Harbour Island
bs,High Rock
bs,Green Turtle Cay
bs,Marsh Harbour
bs,Ragged Island
bs,Sandy Point
bs,Inagua
bt,Wangdi Phodrang
bt,Paro
bt,Daga
bt,Mongar
bt,Shemgang
bt,Thimphu
bt,Tashigang
bt,Chirang
bt,Geylegphug
bt,Samdrup
bt,Bumthang
bt,Samchi
bt,Tongsa
bt,Chhukha
bt,Pemagatsel
bt,Ha
bt,Punakha
bt,Lhuntshi
bw,Central
bw,South-East
bw,North-East
bw,North-West
bw,Ghanzi
bw,Kweneng
bw,Kgalagadi
bw,Southern
bw,Kgatleng
by,Homyel'skaya Voblasts'
by,Minsk
by,Brestskaya Voblasts'
by,Hrodzyenskaya Voblasts'
by,Mahilyowskaya Voblasts'
by,Vitsyebskaya Voblasts'
bz,Toledo
bz,Cayo
bz,Stann Creek
bz,Corozal
bz,Orange Walk
bz,Belize
cd,Equateur
cd,Orientale
cd,Nord-Kivu
cd,Maniema
cd,Bandundu
cd,Katanga
cd,Sud-Kivu
cd,Bas-Congo
cd,Kasai-Oriental
cd,Kinshasa
cf,Nana-Mambere
cf,Ouaka
cf,Haute-Kotto
cf,Sangha-Mbaere
cf,Bamingui-Bangoran
cf,Mbomou
cf,Basse-Kotto
cf,Kemo
cf,Haut-Mbomou
cf,Ouham-Pende
cf,Ouham
cf,Ombella-Mpoko
cf,Cuvette-Ouest
cf,Mambere-Kadei
cf,Lobaye
cf,Nana-Grebizi
cf,Bangui
cg,Plateaux
cg,Pool
cg,Sangha
cg,Lekoumou
cg,Likouala
cg,Kouilou
cg,Niari
cg,Bouenza
cg,Brazzaville
cg,Cuvette-Ouest
cg,Cuvette
ch,Thurgau
ch,Aargau
ch,Bern
ch,Zurich
ch,Fribourg
ch,Ausser-Rhoden
ch,Valais
ch,Uri
ch,Graubunden
ch,Ticino
ch,Luzern
ch,Obwalden
ch,Solothurn
ch,Basel-Stadt
ch,Inner-Rhoden
ch,Zug
ch,Vaud
ch,Jura
ch,Basel-Landschaft
ch,Schwyz
ch,Sankt Gallen
ch,Schaffhausen
ch,Glarus
ch,Geneve
ch,Neuchatel
ch,Nidwalden
ci,Vallee du Bandama
ci,N'zi-Comoe
ci,Moyen-Comoe
ci,Lagunes
ci,Zanzan
ci,Sud-Comoe
ci,Lacs
ci,Fromager
ci,Agneby
ci,Bas-Sassandra
ci,Marahoue
ci,Bafing
ci,Savanes
ci,Sud-Bandama
ci,Haut-Sassandra
ci,Moyen-Cavally
ci,Dix-Huit Montagnes
ci,Denguele
ci,Worodougou
cl,Bio-Bio
cl,Maule
cl,Los Lagos
cl,Tarapaca
cl,Valparaiso
cl,Atacama
cl,Coquimbo
cl,Libertador General Bernardo O'Higgins
cl,Antofagasta
cl,Araucania
cl,Aisen del General Carlos Ibanez del Campo
cl,Region Metropolitana
cl,Magallanes y de la Antartica Chilena
cm,Est
cm,Adamaoua
cm,Centre
cm,Sud
cm,Nord-Ouest
cm,Extreme-Nord
