Symbol,Name,BlockchainName
USDT,Tether,Omni
LEO,UNUS SED LEO,Ethereum
LINK,Chainlink,Ethereum
HT,Huobi Token,Ethereum
MKR,Maker,Ethereum
USDC,USD Coin,Ethereum
CRO,Crypto.com Coin,Ethereum
BAT,Basic Attention Token,Ethereum
PAX,Paxos Standard,Ethereum
HEDG,HedgeTrade,Ethereum
ZRX,0x,Ethereum
TUSD,TrueUSD,Ethereum
HOT,Holo,Ethereum
ZB,ZB,Ethereum
CENNZ,Centrality,Ethereum
SXP,Swipe,Ethereum
EKT,EDUCare,Ethereum
OMG,OmiseGO,Ethereum
SNX,Synthetix Network Token,Ethereum
KCS,KuCoin Shares,Ethereum
REP,Augur,Ethereum
BTT,BitTorrent,TRON
DAI,Dai,Ethereum
QNT,Quant,Ethereum
MAID,MaidSafeCoin,Omni
MCO,MCO,Ethereum
NEXO,Nexo,Ethereum
CRPT,Crypterium,Ethereum
FTT,FTX Token,Ethereum
AOA,Aurora,Ethereum
GNT,Golem,Ethereum
ENJ,Enjin Coin,Ethereum
REN,Ren,Ethereum
ELF,aelf,Ethereum
NEX,Nash Exchange,NEO
SNT,Status,Ethereum
NPXS,Pundi X,Ethereum
RIF,RIF Token,RSK Smart Bitcoin
SEELE,Seele,Ethereum
SOLVE,SOLVE,Ethereum
EURS,STASIS EURO,Ethereum
DGTX,Digitex Futures,Ethereum
CHZ,Chiliz,Ethereum
TNT,Tierion,Ethereum
MATIC,Matic Network,Ethereum
XMX,XMax,Ethereum
MANA,Decentraland,Ethereum
BCV,BitCapitalVendor,Ethereum
KNC,Kyber Network,Ethereum
ODE,ODEM,Ethereum
BRD,Bread,Ethereum
WTC,Waltonchain,Ethereum
WIN,WINk,TRON
LRC,Loopring,Ethereum
DX,DxChain Token,Ethereum
CVC,Civic,Ethereum
DCN,Dentacoin,Ethereum
DGD,DigixDAO,Ethereum
RLC,iExec RLC,Ethereum
R,Revain,Ethereum
FET,Fetch,Ethereum
LOOM,Loom Network,Ethereum
FUN,FunFair,Ethereum
ENG,Enigma,Ethereum
ANT,Aragon,Ethereum
QASH,QASH,Ethereum
BNT,Bancor,Ethereum
MOF,Molecular Future,Ethereum
FTM,Fantom,Ethereum
HYN,Hyperion,Ethereum
PPT,Populous,Ethereum
GT,Gatechain Token,Ethereum
ORBS,Orbs,Ethereum
DENT,Dent,Ethereum
DRG,Dragon Coins,Ethereum
IOTX,IoTeX,Ethereum
RCN,Ripio Credit Network,Ethereum
POWR,Power Ledger,Ethereum
SAN,Santiment Network Token,Ethereum
LINA,LINA,Ethereum
IGNIS,Ignis,Ardor
UNI,UNI COIN,Ethereum
C20,CRYPTO20,Ethereum
STORJ,Storj,Ethereum
BIX,Bibox Token,Ethereum
GNO,Gnosis,Ethereum
TEL,Telcoin,Ethereum
ROX,Robotina,Ethereum
ADN,Aladdin,Ethereum
LAMB,Lambda,Ethereum
MDA,Moeda Loyalty Points,Ethereum
MTL,Metal,Ethereum
EDO,Eidoo,Ethereum
YOU,YOU COIN,Ethereum
KAN,BitKan,Ethereum
ONE,Harmony,Binance Coin
CELR,Celer Network,Ethereum
COCOS,Cocos-BCX,Ethereum
WXT,Wirex Token,Stellar
MED,MediBloc,Qtum
RET,RealTract,Ethereum
DPT,Diamond Platform Token,Ethereum
CND,Cindicator,Ethereum
ABT,Arcblock,Ethereum
CS,Credits,Ethereum
BMC,Blackmoon,Ethereum
QKC,QuarkChain,Ethereum
GAS,Gas,NEO
MEXC,MEXC Token,Ethereum
INO,INO COIN,Ethereum
INB,Insight Chain,Ethereum
THX,ThoreNext,Ethereum
THR,ThoreCoin,Ethereum
OSC,Oasis City,Ethereum
EON,Dimension Chain,Ethereum
XIN,Mixin,Ethereum
KBC,Karatgold Coin,Ethereum
SLV,Silverway,Ethereum
GAP,GAPS,Ethereum
MXM,Maximine Coin,Ethereum
BXK,Bitbook Gambling,Ethereum
BF,BitForex Token,Ethereum
FXC,Flexacoin,Ethereum
DTR,Dynamic Trading Rights,Ethereum
CCCX,Clipper Coin,Ethereum
OKB,OKB,Ethereum
MB,MineBee,Ethereum
JWL,Jewel,Ethereum
NET,NEXT,Ethereum
MX,MX Token,Ethereum
CIX100,Cryptoindex.com 100,Ethereum
BCZERO,Buggyra Coin Zero,Ethereum
BZ,Bit-Z Token,Ethereum
VERI,Veritaseum,Ethereum
WIX,Wixlar,Ethereum
JCT,Japan Content Token,Ethereum
USDK,USDK,Ethereum
AGVC,AgaveCoin,Ethereum
LA,LATOKEN,Ethereum
BQTX,BQT,Ethereum
QBIT,Qubitica,Ethereum
BOTX,botXcoin,Ethereum
BNK,Bankera,Ethereum
FAB,FABRK,Ethereum
BHT,BHEX Token,Ethereum
XAC,General Attention Currency,Ethereum
VEST,VestChain,Ethereum
TLOS,Telos,EOS
FST,1irstcoin,Ethereum
XET,ETERNAL TOKEN,Ethereum
EVN,Envion,Ethereum
FNB,FNB Protocol,Ethereum
ULT,Ultiledger,Ethereum
SXDT,Spectre.ai Dividend Token,Ethereum
ECOREAL,Ecoreal Estate,Ethereum
BTU,BTU Protocol,Ethereum
ATP,Atlas Protocol,Nebulas
TRAT,Tratin,Ethereum
UIP,UnlimitedIP,Ethereum
XCHF,CryptoFranc,Ethereum
DAPS,DAPS Token,Ethereum
AGI,SingularityNET,Ethereum
BUSD,Binance USD,Ethereum
TKN,Monolith,Ethereum
PLA,PlayChip,Ethereum
UTT,United Traders Token,Ethereum
POLY,Polymath,Ethereum
BTR,Bitrue Coin,Ethereum
ZRC,ZrCoin,Waves
XLAB,XcelToken Plus,Ethereum
FX,Function X,Ethereum
BFT,BnkToTheFuture,Ethereum
PAY,TenX,Ethereum
DAC,Davinci Coin,Ethereum
B2B,B2BX,Ethereum
ERD,Elrond,Binance Coin
COS,Contentos,Binance Coin
NEC,Nectar,Ethereum
UTK,Utrust,Ethereum
RHOC,RChain,Ethereum
GUSD,Gemini Dollar,Ethereum
VALOR,Valor Token,Ethereum
CRE,Carry,Ethereum
CTXC,Cortex,Ethereum
IQ,Everipedia,EOS
REQ,Request,Ethereum
PRS,PressOne,Ethereum
ZT,ZTCoin,Ethereum
UGAS,UGAS,Ethereum
LEND,Aave,Ethereum
CDT,Blox,Ethereum
TRV,TrustVerse,Ethereum
ANKR,Ankr,Ethereum
CWV,CWV Chain,Ethereum
ITC,IoT Chain,Ethereum
CVNT,Content Value Network,Ethereum
DATA,Streamr DATAcoin,Ethereum
GMAT,GoWithMi,Ethereum
DRGN,Dragonchain,Ethereum
STORM,Storm,Ethereum
MEDX,MediBloc [ERC20],Ethereum
MITH,Mithril,Ethereum
FOAM,FOAM,Ethereum
PERL,Perlin,Ethereum
FSN,Fusion,Ethereum
AEN,Aencoin,Ethereum
RSR,Reserve Rights,Ethereum
EUM,Elitium,Ethereum
MFT,Mainframe,Ethereum
GNY,GNY,Ethereum
TRIO,Tripio,Ethereum
EGT,Egretia,Ethereum
1ST,FirstBlood,Ethereum
HUM,Humanscape,Ethereum
GTO,Gifto,Ethereum
RDN,Raiden Network Token,Ethereum
WABI,Tael,Ethereum
EVX,Everex,Ethereum
POE,Po.et,Ethereum
HYDRO,Hydro,Ethereum
TCT,TokenClub,Ethereum
DAG,Constellation,Ethereum
TNB,Time New Bank,Ethereum
OST,OST,Ethereum
BORA,BORA,Ethereum
XPX,ProximaX,NEM
PLR,Pillar,Ethereum
BITCNY,bitCNY,BitShares
DOCK,Dock,Ethereum
CBT,CommerceBlock,Ethereum
EVR,Everus,Ethereum
FOR,Force Protocol,Ethereum
RUFF,Ruff,Ethereum
PEOS,pEOS,EOS
QSP,Quantstamp,Ethereum
LOCUS,Locus Chain,Ethereum
PPP,PayPie,Ethereum
TEN,Tokenomy,Ethereum
OCEAN,Ocean Protocol,Ethereum
SOC,All Sports,Ethereum
MDT,Measurable Data Token,Ethereum
TOP,TOP,Ethereum
DUSK,Dusk Network,Ethereum
LEVL,Levolution,Ethereum
TAAS,TaaS,Ethereum
TKY,THEKEY,NEO
SALT,SALT,Ethereum
INCNT,Incent,Waves
INS,Insolar,Ethereum
SNL,Sport and Leisure,Ethereum
ELI,Eligma Token,Ethereum
BDP,BidiPass,Ethereum
OGO,Origo,Ethereum
LBA,Cred,Ethereum
STPT,STPT,Ethereum
